"Time (ms)","Recording (a.u.)"
1.441721277E1,1.021941099E-2
1.443804690E1,9.845613502E-3
1.445888102E1,9.619948454E-3
1.447971514E1,8.946040645E-3
1.450054926E1,8.418160491E-3
1.452138339E1,7.754124701E-3
1.454221751E1,7.041499019E-3
1.456305163E1,6.503053475E-3
1.458388575E1,5.820924416E-3
1.460471988E1,5.327886436E-3
1.462555400E1,4.726665094E-3
1.464638812E1,4.101661965E-3
1.466722224E1,3.585583996E-3
1.468805637E1,2.791556530E-3
1.470889049E1,2.068560338E-3
1.472972461E1,1.296250382E-3
1.475055873E1,4.589142627E-4
1.477139286E1,-2.478415845E-4
1.479222698E1,-1.183660235E-3
1.481306110E1,-2.091009170E-3
1.483389522E1,-2.837733831E-3
1.485472935E1,-3.473128192E-3
1.487556347E1,-4.018600564E-3
1.489639759E1,-4.705742002E-3
1.491723171E1,-5.327959079E-3
1.493806584E1,-6.042862311E-3
1.495889996E1,-6.717535667E-3
1.497973408E1,-7.257932331E-3
1.500056820E1,-7.912421599E-3
1.502140233E1,-8.252781816E-3
1.504223645E1,-8.751487359E-3
1.506307057E1,-9.341029450E-3
1.508390469E1,-9.579585865E-3
1.510473882E1,-9.971058927E-3
1.512557294E1,-1.010970213E-2
1.514640706E1,-1.029408537E-2
1.516724118E1,-1.073814556E-2
1.518807531E1,-1.095583569E-2
1.520890943E1,-1.121144369E-2
1.522974355E1,-1.122557186E-2
1.525057767E1,-1.130233333E-2
1.527141180E1,-1.139630098E-2
1.529224592E1,-1.115703955E-2
1.531308004E1,-1.123162545E-2
1.533391416E1,-1.104244217E-2
1.535474829E1,-1.068452001E-2
1.537558241E1,-1.051988453E-2
1.539641653E1,-1.017685980E-2
1.541725065E1,-9.955633432E-3
1.543808478E1,-9.543079883E-3
1.545891890E1,-9.088024497E-3
1.547975302E1,-8.460509591E-3
1.550058714E1,-7.694307715E-3
1.552142127E1,-7.300095633E-3
1.554225539E1,-6.626781542E-3
1.556308951E1,-6.119437516E-3
1.558392363E1,-5.547035020E-3
1.560475776E1,-4.495887086E-3
1.562559188E1,-3.747404320E-3
1.564642600E1,-2.944552805E-3
1.566726012E1,-2.303538378E-3
1.568809425E1,-1.803323627E-3
1.570892837E1,-1.049637562E-3
1.572976249E1,-2.947830653E-4
1.575059661E1,6.916815764E-4
1.577143074E1,1.511043520E-3
1.579226486E1,2.250122838E-3
1.581309898E1,3.105319105E-3
1.583393310E1,3.673956729E-3
1.585476723E1,4.523634911E-3
1.587560135E1,5.266732536E-3
1.589643547E1,5.740382709E-3
1.591726959E1,6.486772560E-3
1.593810372E1,7.042001002E-3
1.595893784E1,7.709580474E-3
1.597977196E1,8.321430534E-3
1.600060608E1,8.857817389E-3
1.602144021E1,9.713999927E-3
1.604227433E1,1.018003374E-2
1.606310845E1,1.058067568E-2
1.608394257E1,1.088288426E-2
1.610477670E1,1.089891233E-2
1.612561082E1,1.119188964E-2
1.614644494E1,1.131970063E-2
1.616727906E1,1.151209883E-2
1.618811319E1,1.187450904E-2
1.620894731E1,1.186542492E-2
1.622978143E1,1.207971200E-2
1.625061555E1,1.224105060E-2
1.627144968E1,1.208667923E-2
1.629228380E1,1.226762682E-2
1.631311792E1,1.214400493E-2
1.633395204E1,1.185714267E-2
1.635478617E1,1.178149879E-2
1.637562029E1,1.131358277E-2
1.639645441E1,1.085859723E-2
1.641728853E1,1.050714403E-2
1.643812266E1,9.988630190E-3
1.645895678E1,9.521292523E-3
1.647979090E1,9.149035439E-3
1.650062502E1,8.612397127E-3
1.652145915E1,7.930137217E-3
