"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.591638704E2,1.186252121E0,-2.176005491E-1,7.372350758E-1
1.591838584E2,1.050100290E0,-3.525325055E-1,1.346821926E0
1.592038464E2,1.445148704E0,-4.723907053E-1,8.581309372E-1
1.592238344E2,1.769931128E0,-5.383424009E-1,7.541586721E-1
1.592438224E2,1.560151157E0,-7.366333243E-1,4.951515770E-1
1.592638104E2,1.104906827E0,-8.294697864E-1,2.765516657E-1
1.592837984E2,6.358811939E-1,-9.223194779E-1,6.615013540E-2
1.593037864E2,5.067009974E-1,-9.056478967E-1,-1.368026268E-1
1.593237744E2,2.428950924E-1,-8.859120820E-1,-3.093486983E-1
1.593437623E2,8.773162365E-3,-8.488679244E-1,-4.511056709E-1
1.593637503E2,-2.880332583E-1,-8.016099966E-1,-4.722807777E-1
1.593837383E2,-7.375174963E-1,-7.248047724E-1,-6.001611382E-1
1.594037263E2,-7.120674902E-1,-5.494257250E-1,-4.781162989E-1
1.594237153E2,-2.051875681E-1,-4.142468700E-1,-3.704328060E-1
1.594437033E2,1.387485802E-2,-2.996888056E-1,-8.264103770E-2
1.594636913E2,3.289935887E-1,-2.230699615E-1,5.922644734E-3
1.594836792E2,5.434899241E-1,-1.695189679E-1,-2.239846122E-1
1.595036673E2,5.457954812E-1,-1.577187020E-1,-4.450877166E-1
1.595236553E2,3.559966153E-1,-1.871484692E-1,-6.607260132E-1
1.595436433E2,-2.450082761E-1,-4.548940820E-1,-7.410679257E-1
1.595636312E2,-1.566085496E0,-5.564583175E-1,7.525132656E-2
1.595836193E2,-7.733422172E-1,-6.180935984E-1,2.395972627E-1
1.596036073E2,8.344093680E-2,-4.644404655E-1,-6.675181389E-3
1.596235953E2,-2.232648200E-1,-1.571775422E-1,-2.355515742E-1
1.596435832E2,5.065577406E-1,-2.400572924E-1,-5.592253661E-1
1.596635713E2,3.773266733E-2,2.968946406E-1,5.543628216E-1
1.596835593E2,5.499926126E-1,1.932164758E0,3.818444075E0
1.597035473E2,-1.464476383E0,2.101893348E0,2.405216491E0
1.597235352E2,2.625426140E-1,1.560457405E0,-9.775924766E-1
1.597435233E2,3.941409266E-1,8.200834704E-1,-1.581660140E0
1.597635113E2,4.190202445E-1,-1.311603561E-2,-2.521626368E0
1.597834993E2,-1.120707465E0,-3.263387335E-1,-4.153183722E-1
1.598034883E2,-2.096194944E0,-1.053661025E0,-7.152577311E-1
1.598234763E2,-1.669631499E0,-1.553071640E0,-6.944317031E-1
1.598434643E2,1.660230930E0,-1.146419573E0,1.640426996E0
1.598634523E2,2.060376948E0,-8.410642304E-2,1.717675731E0
1.598834403E2,1.724816643E0,1.637600452E-1,3.228966969E-1
1.599034283E2,1.411388635E0,-1.209910248E-1,3.379234564E-1
1.599234163E2,2.228187067E0,1.401360514E-1,7.484114438E-1
1.599434043E2,7.712547612E-1,4.538090580E-1,2.352364093E0
1.599633923E2,2.128644360E0,1.353772511E0,3.491802821E0
1.599833803E2,-1.177670163E0,1.543879964E0,-3.885714537E0
1.600033683E2,-1.684503307E0,-1.092112826E0,-2.128519229E0
1.600233563E2,-1.258452078E0,-1.706812628E0,-1.940965694E-1
1.600433443E2,3.857606971E-1,-1.760073892E0,2.391863204E0
1.600633323E2,-2.640310228E-1,-1.436777684E0,1.002556579E0
1.600833203E2,-1.550065879E0,-3.132905987E-1,-6.804527646E-1
1.601033083E2,-1.151468205E0,4.562262239E-1,-1.357685468E0
1.601232963E2,-7.935443473E-1,1.160096502E0,-2.826525335E0
1.601432843E2,9.722030979E-1,8.263495660E-1,-3.442834729E0
1.601632733E2,2.125513760E0,1.631630445E-1,-2.014798486E0
1.601832613E2,2.903838390E-1,-5.633618326E-1,-1.564282215E0
