Description	
Number of Runs	2500
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	800
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
533	800	4	1	02/07/24 11:12:04 AM	
534	800	7	1	02/07/24 11:12:06 AM	
535	800	5	1	02/07/24 11:12:07 AM	
536	800	20	1	02/07/24 11:12:08 AM	
537	800	2	1	02/07/24 11:12:09 AM	
538	800	10	1	02/07/24 11:12:10 AM	
539	800	12	1	02/07/24 11:12:11 AM	
540	800	15	1	02/07/24 11:12:13 AM	
541	800	16	1	02/07/24 11:12:14 AM	
542	800	5	1	02/07/24 11:12:15 AM	
543	800	16	1	02/07/24 11:12:16 AM	
544	800	9	1	02/07/24 11:12:17 AM	
545	800	11	1	02/07/24 11:12:18 AM	
546	800	12	1	02/07/24 11:12:19 AM	
547	800	12	1	02/07/24 11:12:20 AM	
548	800	5	1	02/07/24 11:12:22 AM	
549	800	11	1	02/07/24 11:12:23 AM	
550	800	11	1	02/07/24 11:12:24 AM	
551	800	14	1	02/07/24 11:12:25 AM	
552	800	14	1	02/07/24 11:12:26 AM	
553	800	10	1	02/07/24 11:12:27 AM	
554	800	16	1	02/07/24 11:12:28 AM	
555	800	19	1	02/07/24 11:12:30 AM	
556	800	10	1	02/07/24 11:12:31 AM	
557	800	11	1	02/07/24 11:12:32 AM	
558	800	13	1	02/07/24 11:12:33 AM	
559	800	9	1	02/07/24 11:12:34 AM	
