Wavelength,Intensity Source #3,,starting W (nm),ending W (nm),Delta W (nm),Intensity,,,Source #3
620.521,5.64,,,,,,,,
620.867,6.079,,,,,,,,
621.213,6.641,,,,,,,,
621.559,7.104,,,,,,,,
621.905,7.104,,,,,,,,
622.251,7.129,,,,,,,,
622.597,7.104,,,,,,,,
622.942,6.836,,,,,,,,
623.288,6.128,,,,,,,,
623.634,5.908,,,,,,,,
623.98,5.786,,,,,,,,
624.325,5.322,,,,,,,,
624.671,5.322,,,,,,,,
625.016,5.566,,,,,,,,
625.362,5.713,,,,,,,,
625.707,6.055,,,,,,,,
626.053,6.421,,,,,,,,
626.398,6.226,,,,,,,,
626.744,6.86,,,,,,,,
627.089,6.348,,,,,,,,
627.434,6.396,,,,,,,,
627.779,6.641,,,,,,,,
628.124,6.641,,,,,,,,
628.47,6.909,,,,,,,,
628.815,7.007,,,,,,,,
629.16,7.3,,,,,,,,
629.505,6.958,,,,,,,,
629.85,7.007,,,,,,,,
630.195,7.08,,,,,,,,
630.539,7.544,,,,,,,,
630.884,7.666,,,,,,,,
631.229,8.862,,,,,,,,
631.574,8.472,,,,,,,,
631.919,8.35,,,,,,,,
632.263,8.398,,,,,,,,
632.608,7.812,,,,,,,,
632.952,7.959,,,,,,,,
633.297,8.301,,,,,,,,
633.641,7.959,,,,,,,,
633.986,8.008,,,,,,,,
634.33,8.228,,,,,,,,
634.675,8.496,,,,,,,,
635.019,8.862,,,,,,,,
635.363,8.618,,,,,,,,
635.707,9.375,,,,,,,,
636.052,8.398,,,,,,,,
636.396,8.643,,,,,,,,
636.74,8.35,,,,,,,,
637.084,8.472,,,,,,,,
637.428,9.009,,,,,,,,
637.772,8.936,,,,,,,,
638.116,8.813,,,,,,,,
638.46,9.033,,,,,,,,
638.803,9.082,,,,,,,,
639.147,8.838,,,,,,,,
639.491,9.18,,,,,,,,
639.835,8.96,,,,,,,,
640.178,9.229,,,,,,,,
640.522,8.887,,,,,,,,
640.865,9.302,,,,,,,,
641.209,8.911,,,,,,,,
